count,title
1,99999
1,99978
1,99976
1,99948
1,99939
1,99927
1,99897
1,99888
1,99876
1,99867
1,99862
1,99860
1,99852
1,99844
1,99779
1,99729
1,99722
1,99708
1,99690
1,99628
1,99624
2,99611
1,99593
1,99580
1,99574
1,99572
1,99570
1,99559
1,99528
1,99489
1,99462
1,99451
1,99390
1,99386
1,99380
1,99368
1,99364
1,99335
1,99299
1,99290
1,99281
1,99276
1,99271
1,99265
1,99261
1,99254
1,99202
1,99178
1,99174
1,99169
1,99131
1,99130
2,99120
1,99039
1,99010
1,98960
1,98944
1,98931
1,98929
1,98917
1,98904
1,98865
1,98858
1,98834
2,98832
1,98831
1,98812
1,98803
1,98795
1,98793
1,98768
1,98746
1,98736
1,98732
1,98691
1,98690
1,98689
1,98679
1,98673
1,98658
1,98628
1,98624
1,98620
1,98596
1,98584
1,98579
1,98560
1,98529
1,98525
1,98461
1,98434
1,98427
1,98401
1,98370
1,98361
1,98339
1,98331
1,98307
1,98291
1,98278
1,98277
1,98267
1,98264
1,98263
1,98225
1,98223
1,98205
1,98196
1,98193
1,98189
1,98186
1,98178
1,98173
1,98171
2,98143
2,98125
1,98121
1,98109
1,98108
1,98099
1,98084
1,98082
1,98048
1,98027
1,98011
1,98010
1,98004
1,97994
1,97976
1,97948
1,97944
1,97935
1,97918
1,97912
1,97903
1,97901
1,97888
1,97874
1,97856
1,97847
1,97839
1,97820
1,97813
1,97812
2,97791
1,97790
1,97762
1,97760
1,97754
1,97728
1,97726
1,97724
2,97722
1,97720
1,97704
1,97699
1,97697
1,97680
1,97675
1,97674
1,97671
1,97665
1,97643
2,97610
1,97600
1,97594
1,97587
2,97585
1,97551
1,97546
1,97540
1,97537
1,97512
1,97505
1,97504
1,97494
1,97484
1,97481
1,97479
1,97470
1,97459
1,97456
1,97445
1,97437
1,97430
1,97418
1,97408
1,97405
1,97399
1,97365
1,97364
1,97360
1,97345
1,97342
1,97328
1,97306
1,97289
1,97286
1,97241
1,97235
1,97231
1,97207
1,97202
1,97184
1,97180
1,97175
2,97164
1,97163
1,97128
1,97122
2,97112
1,97099
1,97095
1,97079
1,97052
1,97047
1,97022
1,97020
1,96997
1,96995
1,96991
1,96977
1,96944
1,96942
1,96939
1,96923
1,96922
1,96916
1,96915
1,96912
1,96904
1,96900
1,96893
1,96892
1,96890
1,96880
1,96871
1,96870
1,96857
1,96845
1,96835
1,96834
1,96828
1,96826
1,96811
1,96794
1,96792
1,96787
1,96783
1,96782
1,96766
1,96760
1,96745
1,96738
1,96736
1,96714
1,96701
1,96694
1,96671
1,96657
1,96654
1,96651
1,96619
1,96593
1,96592
1,96590
1,96586
1,96574
1,96571
1,96565
1,96562
1,96553
1,96540
1,96529
1,96525
1,96520
1,96508
2,96497
1,96494
1,96461
1,96459
1,96427
1,96419
1,96383
1,96377
1,96366
1,96362
1,96337
1,96333
1,96325
1,96321
1,96307
1,96294
1,96278
1,96271
1,96249
1,96243
1,96242
1,96229
1,96211
1,96210
1,96209
1,96207
1,96182
1,96179
1,96162
1,96158
1,96140
1,96133
1,96105
1,96097
1,96077
1,96076
1,96074
1,96072
1,96068
1,96054
1,96052
1,96035
1,96023
1,96019
1,96013
1,96008
1,96006
3,95998
1,95988
1,95987
1,95981
1,95968
1,95927
1,95920
1,95918
1,95913
1,95908
1,95907
1,95903
1,95884
1,95874
1,95855
1,95850
1,95836
1,95814
2,95812
1,95811
1,95796
1,95785
1,95772
1,95759
1,95757
1,95748
1,95744
1,95738
1,95734
2,95718
1,95714
1,95710
2,95687
1,95653
1,95651
1,95638
1,95637
1,95635
1,95630
1,95621
1,95615
1,95614
1,95604
1,95598
1,95596
1,95595
1,95593
1,95574
1,95573
2,95563
1,95561
1,95550
1,95538
1,95537
2,95505
1,95504
1,95501
1,95493
1,95481
1,95471
1,95446
1,95444
1,95443
1,95440
1,95428
1,95410
1,95408
1,95399
1,95395
1,95371
1,95366
1,95344
1,95332
1,95328
1,95320
1,95306
1,95294
1,95276
1,95275
1,95261
1,95252
2,95250
2,95246
1,95244
1,95242
1,95230
1,95227
1,95207
1,95204
1,95200
1,95193
1,95186
1,95185
1,95184
1,95166
1,95161
1,95153
1,95142
1,95131
1,95123
1,95091
1,95089
1,95086
1,95079
1,95059
1,95055
1,95051
1,95049
1,95034
1,95024
1,95018
1,95008
1,95003
1,94998
1,94993
1,94991
1,94985
1,94983
1,94971
1,94957
1,94939
1,94930
2,94929
2,94927
1,94906
1,94905
1,94902
1,94878
1,94867
1,94858
1,94849
1,94838
1,94837
1,94825
1,94824
1,94821
1,94819
1,94816
